collection_id,collection_name,holder_count,spectral_community_id,spectral_community_size,total_connections,intra_community_connections,inter_community_connections,spectral_community_cohesion_score,intra_community_weight,inter_community_weight
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,0,8,40,7,33,0.175,7.0,12.085593805768209
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,0,8,32,7,25,0.21875,7.0,6.261779460423993
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,0,8,42,7,35,0.16666666666666666,7.0,13.014067804838469
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,0,8,41,7,34,0.17073170731707318,7.0,14.364404596605704
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,0,8,34,7,27,0.20588235294117646,7.0,12.237126654255057
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,0,8,32,7,25,0.21875,6.7658103341152245,8.205174183965921
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,0,8,39,7,32,0.1794871794871795,6.7658103341152245,10.955856513521121
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,0,8,36,7,29,0.19444444444444445,7.0,7.712264158676377
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,1,11,36,10,26,0.2777777777777778,8.925220424800827,22.288837209474348
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,1,11,40,10,30,0.25,9.346091426810274,23.720164397368585
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,1,11,36,10,26,0.2777777777777778,6.511291651496403,18.478391961524398
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,1,11,46,10,36,0.21739130434782608,7.65321460899966,28.882939549184893
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,1,11,45,10,35,0.2222222222222222,9.557094221555195,27.296354359541873
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,1,11,46,10,36,0.21739130434782608,10.0,26.45918943380582
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,1,11,45,10,35,0.2222222222222222,8.972286496489815,25.29262466460987
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,1,11,45,10,35,0.2222222222222222,9.61574075300846,30.55851867800536
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,1,11,41,10,31,0.24390243902439024,9.591397884042024,20.613230365236937
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,1,11,42,10,32,0.23809523809523808,9.223487063012,21.226548264600204
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,1,11,45,10,35,0.2222222222222222,9.481499379968586,20.442615742594775
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,2,2,37,0,37,0.0,0.0,15.500178085285834
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,2,2,2,0,2,0.0,0.0,0.10620414599885078
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,3,5,44,4,40,0.09090909090909091,3.5708542405582087,27.26282596328587
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,3,5,32,4,28,0.125,3.7489779775793455,17.302312631824254
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,3,5,45,4,41,0.08888888888888889,3.395061340653439,24.499364092769774
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,3,5,46,4,42,0.08695652173913043,3.680907311009525,33.843645405993385
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,3,5,44,4,40,0.09090909090909091,3.7244983902838324,17.307326304051273
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,4,22,43,21,22,0.4883720930232558,21.0,16.34453810859977
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,4,22,41,21,20,0.5121951219512195,20.834770839326524,15.95200195113413
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,4,22,45,21,24,0.4666666666666667,21.0,17.055471983259178
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,4,22,41,21,20,0.5121951219512195,20.663730440256217,16.556694642131617
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,4,22,44,21,23,0.4772727272727273,21.0,16.636384607592035
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,4,22,43,21,22,0.4883720930232558,18.019471300464584,8.576366956079374
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,4,22,42,21,21,0.5,19.65219770120077,15.582380693481621
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,4,22,43,21,22,0.4883720930232558,19.424110789104635,13.495667722694757
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,4,22,42,21,21,0.5,19.83890239179873,9.827107142193256
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,4,22,45,21,24,0.4666666666666667,20.51276494229453,18.057229278483504
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,4,22,45,21,24,0.4666666666666667,18.312510247201054,11.00365505730591
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,4,22,43,21,22,0.4883720930232558,20.3692618755029,14.948533052027067
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,4,22,46,21,25,0.45652173913043476,21.0,17.058663510046518
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,4,22,46,21,25,0.45652173913043476,21.0,19.232152868854108
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,4,22,45,21,24,0.4666666666666667,18.109187718666945,14.900630329776433
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,4,22,46,21,25,0.45652173913043476,18.37153729640198,20.78349459543814
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,4,22,45,21,24,0.4666666666666667,20.225125011732445,17.678226328231855
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,4,22,46,21,25,0.45652173913043476,20.115888700387977,14.442745121884743
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,4,22,46,21,25,0.45652173913043476,20.118776583806238,20.28088115686037
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,4,22,45,21,24,0.4666666666666667,20.576509042557632,19.98884870486576
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,4,22,45,21,24,0.4666666666666667,20.192935600877586,15.032833344276355
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,4,22,42,21,21,0.5,15.567297293319573,10.310746619130098
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,5,1,0,0,0,0.0,0.0,0.0
